"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 09월 24일","139.268","149.945","151.009","128.404","9.67M","-7.07%"
"2021년 09월 23일","149.870","148.013","152.310","143.083","7.40M","1.23%"
"2021년 09월 22일","148.048","123.967","151.446","122.272","12.06M","19.51%"
"2021년 09월 21일","123.881","132.701","144.496","116.135","14.26M","-6.51%"
"2021년 09월 20일","132.502","152.742","153.305","131.023","14.72M","-13.23%"
"2021년 09월 19일","152.704","169.289","170.852","150.914","7.32M","-9.86%"
"2021년 09월 18일","169.399","147.447","171.309","144.269","12.19M","14.91%"
"2021년 09월 17일","147.416","152.215","153.253","134.717","11.39M","-3.15%"
"2021년 09월 16일","152.211","158.648","163.008","147.493","6.80M","-4.04%"
"2021년 09월 15일","158.619","158.507","166.246","154.057","8.72M","0.39%"
"2021년 09월 14일","158.000","169.470","171.540","143.200","12.22M","-6.77%"
"2021년 09월 13일","169.470","174.370","175.000","150.540","12.52M","-2.81%"
"2021년 09월 12일","174.370","178.350","181.500","170.810","-","-2.23%"
"2021년 09월 11일","178.350","179.150","192.930","175.551","-","-0.45%"
"2021년 09월 10일","179.150","192.100","197.100","170.000","-","-6.74%"
"2021년 09월 09일","192.100","190.690","215.511","182.000","-","0.74%"
"2021년 09월 08일","190.690","173.030","198.040","146.530","-","10.21%"
"2021년 09월 07일","173.030","164.590","195.000","130.000","-","5.40%"
"2021년 09월 06일","164.170","142.130","165.859","137.390","-","15.51%"
"2021년 09월 05일","142.130","139.090","145.140","135.140","-","2.19%"
"2021년 09월 04일","139.090","146.140","150.670","136.120","-","-4.82%"
"2021년 09월 03일","146.140","128.071","148.890","128.071","-","14.11%"
"2021년 09월 02일","128.071","111.060","131.800","109.670","-","15.32%"
"2021년 09월 01일","111.060","108.320","119.500","106.180","-","2.53%"
"2021년 08월 31일","108.320","110.241","130.030","103.580","-","-1.74%"
"2021년 08월 30일","110.241","94.200","116.250","93.800","-","17.03%"
"2021년 08월 29일","94.200","96.720","97.840","90.623","-","-2.61%"
"2021년 08월 28일","96.720","87.970","97.710","85.731","-","9.95%"
"2021년 08월 27일","87.970","75.169","88.760","73.179","-","17.03%"
"2021년 08월 26일","75.169","72.056","78.051","66.372","-","4.32%"
"2021년 08월 25일","72.056","70.671","72.535","66.350","-","1.96%"
"2021년 08월 24일","70.671","75.553","79.343","68.486","-","-6.46%"
"2021년 08월 23일","75.553","72.846","77.846","71.719","-","3.72%"
"2021년 08월 22일","72.846","73.907","77.507","71.540","-","-1.44%"
"2021년 08월 21일","73.907","78.714","81.953","72.715","-","-6.11%"
"2021년 08월 20일","78.714","72.700","79.900","70.987","-","8.27%"
"2021년 08월 19일","72.700","72.578","75.307","68.771","-","0.17%"
"2021년 08월 18일","72.578","64.000","80.483","60.019","-","13.40%"
"2021년 08월 17일","64.000","62.137","100.000","59.998","-","3.00%"
"2021년 08월 16일","62.137","53.714","68.743","52.451","-","15.68%"
"2021년 08월 15일","53.714","44.043","54.590","43.462","-","21.96%"
"2021년 08월 14일","44.043","44.821","44.821","42.828","-","-1.74%"
"2021년 08월 13일","44.821","41.100","44.821","40.785","-","9.05%"
"2021년 08월 12일","41.100","41.792","43.323","39.433","-","-1.66%"
"2021년 08월 11일","41.792","40.596","43.631","40.596","-","2.95%"
"2021년 08월 10일","40.596","38.722","41.686","38.278","-","4.84%"
"2021년 08월 09일","38.722","37.668","39.925","36.304","-","2.80%"
"2021년 08월 08일","37.668","39.426","39.494","36.972","-","-4.46%"
"2021년 08월 07일","39.426","39.497","40.405","37.633","-","-0.18%"
"2021년 08월 06일","39.497","37.408","40.362","35.750","-","5.58%"
"2021년 08월 05일","37.408","35.706","38.169","35.596","-","4.77%"
"2021년 08월 04일","35.706","33.960","36.600","33.326","-","5.14%"
"2021년 08월 03일","33.960","33.169","35.762","32.200","-","2.38%"
"2021년 08월 02일","33.169","34.276","35.837","33.098","-","-3.23%"
"2021년 08월 01일","34.276","36.709","36.752","33.500","-","-6.63%"
"2021년 07월 31일","36.709","32.356","36.796","31.800","-","13.45%"
"2021년 07월 30일","32.356","31.268","33.009","30.086","-","3.48%"
"2021년 07월 29일","31.268","27.857","31.912","27.374","-","12.24%"
"2021년 07월 28일","27.857","28.018","28.620","27.500","-","-0.57%"
"2021년 07월 27일","28.018","28.251","28.886","27.000","-","-0.82%"
